Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC10.mzML
P02753	P02753				3.69244e+07
P02760	P02760				7.82083e+07
P02763	P02763				8.33232e+08
P02765	P02765				2.12603e+08
P02766	P02766				2.4273e+09
P02768	P02768				7.90383e+09
P02774;P02774-3	P02774;P02774-2;P02774-3				8.83783e+08
P02786	P02786				640065
P02787	P02787				1.92262e+09
P02788;P02788-2	P02788;P02788-2				4.5958e+06
P02790	P02790				1.38852e+09
P02792	P02792				731707
P02794	P02794				1.79722e+06
P02818	P02818				303267
P03950	P03950				1.58064e+06
P03951	P03951;P03951-2				3.24889e+06
P03952	P03952				8.25165e+06
P04003	P04003				661158
P04004	P04004				5.55893e+07
P04040	P04040				416413
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				1.04848e+06
P04066	P04066				2.74996e+06
P04070;P04070-2	P04070;P04070-2				1.12809e+06
P04075;P04075-2	P04075;P04075-2				9.06317e+06
P04080	P04080				1.23847e+06
P04085;P04085-2	P04085;P04085-2				904637
P04114	P04114				2.52002e+06
P04156	P04156				6.20713e+07
P04179;P04179-4	P04179;P04179-2;P04179-3;P04179-4				3.80603e+06
P04180	P04180				6.58235e+06
P04196	P04196				7.49918e+07
P04211	P04211				588581
P04216	P04216				7.07546e+07
P04217	P04217;P04217-2				2.60825e+08
P04217-2	P04217-2				1.61177e+06
P04264	P04259;P04264				1.14399e+07
P04271	P04271				442992
P04275	P04275				469145
P04278	P04278;P04278-5				2.67896e+06
P04350;P07437;P68371	P04350;P07437;P68371				129465
P04406	P04406;P04406-2				1.41216e+06
P04430	P04430				3.08147e+06
P04439;P04439-2	P01893;P04439;P04439-2				2.22784e+06
P04746	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				1.2953e+06
P04792	P04792				259560
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				385198
P05026;P05026-2	P05026;P05026-2				209537
P05060	P05060				8.1854e+07
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				2.21808e+07
P05090	P05090				1.01279e+09
P05121	P05121				445916
P05154	P05154				6.20361e+06
P05155;P05155-3	P05155;P05155-2;P05155-3				2.69193e+08
P05156	P05156				1.52495e+07
P05160	P05160				1.10982e+06
P05362	P05362				713517
P05408;P05408-2	P05408;P05408-2				5.01492e+07
P05413	P05413				1.43874e+06
P05451	P05451;P48304				305516
P05452	P05452				3.87814e+07
P05543	P05543				9.99281e+06
P05546	P05546				4.55179e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				429286
P05937	P05937;P05937-2				1.36904e+06
P06276	P06276				2.3415e+06
P06280	P06280				261146
P06307	P06307				1.56886e+06
P06310	P06310				8.0759e+07
P06312	P06312				1.93651e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				3.93076e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				1.9134e+08
P06396-2	P06396-2				1.32594e+06
P06681	P06681;P06681-2;P06681-3				1.10269e+07
P06703	P06703				618128
P06727	P06727				7.70459e+07
P06733	P06733;P06733-2				4.04808e+06
P06744;P06744-2	P06744;P06744-2				1.03216e+06
P06865	P06865				8.29019e+06
P07093-2;P07093-3	P07093;P07093-2;P07093-3				4.41997e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				2.88435e+06
P07148	P07148				171675
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				9.30223e+06
P07225	P07225				3.0766e+07
P07237	P07237				714119
P07333	P07333;P07333-2				1.74151e+07
P07339	P07339				8.31839e+07
P07357	P07357				1.12732e+07
P07358	P07358				2.12776e+07
P07360	P07360				1.16322e+07
P07492;P07492-2;P07492-3	P07492;P07492-2;P07492-3				133410
P07585	P07585				5.39557e+06
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				2.90859e+07
P07686	P07686				6.00571e+06
P07711	P07711;P07711-3				7.02639e+06
P07737	P07737				1.35543e+06
P07858	P07858				2.14676e+07
P07900;P07900-2	P07900;P07900-2				405969
P07942	P07942				1.3021e+06
P07988	P07988				82598
P07996	P07996				858587
P07998	P07998				1.2492e+07
P08123	P08123				6.5108e+06
P08133;P08133-2	P08133;P08133-2				164902
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				1.08675e+06
P08185	P08185				3.01121e+07
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				1.69396e+06
P08236;P08236-3	P08236;P08236-3				515248
P08238	P08238				575105
P08253	P08253;P08253-2;P08253-3				1.05474e+07
P08294	P08294				9.96497e+07
P08493;P08493-2	P08493;P08493-2				3.48811e+06
P08571	P08571				1.93102e+07
P08572	P08572				727674
P08581;P08581-2	P08581;P08581-2				203546
P08582	P08582;P08582-2				566777
P08603	P08603				4.65562e+07
P08637	P08637				2.33634e+06
P08670	P08670				749406
P08697	P08697;P08697-2				8.32954e+07
P08709;P08709-2	P08709;P08709-2				340614
P08758	P08758				1.46548e+06
P09104	P09104;P09104-2				1.48716e+06
P09172	P09172				255598
P09211	P09211				2.86866e+06
P09382	P09382				5.93631e+06
P09417;P09417-2	P09417;P09417-2				5.3383e+06
P09486	P09486				3.68896e+07
P09493;P09493-10;P09493-2;P09493-3;P09493-4;P09493-5;P09493-6;P09493-7;P09493-8;P09493-9	P06753;P07951;P09493;P09493-10;P67936;P07951-2;P09493-5;P06753-2;P06753-3;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9;P06753-4;P06753-5;P06753-6;P07951-3;P67936-2				269829
P09603	P09603				6.14726e+06
P09619	P09619;P09619-2				1.23078e+06
P09622;P09622-2;P09622-3	P09622;P09622-2;P09622-3				682709
P09668	P09668				7.08792e+06
P09871	P09871				3.19427e+07
P09936	P09936				327929
P09958	P09958				154127
P09960;P09960-2;P09960-3;P09960-4	P09960;P09960-2;P09960-3;P09960-4				270031
P09972	P04075;P09972;P04075-2				1.10039e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				2.9086e+07
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				2.28695e+08
P0C6S8	P0C6S8				314610
P0CG47;P0CG48;P62979;P62987	P0CG47;P0CG48;P62979;P62987				3.29095e+07
P0DJI8	P0DJI8;P0DJI9				2.53058e+06
P0DMQ5	P0DMQ5				4.87421e+06
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				1.24777e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				2.27044e+08
P0DOX3	P0DOX3				1.4994e+07
P0DOX5	P01857;P01859;P0DOX5;P01857-1;P01859-1				2.40307e+09
P0DOX7	P01834;P0DOX7				7.28246e+08
P0DOX8	B9A064;P0DOX8				1.34889e+08
P0DOY2;P0DOY3	P0DOY2;P0DOY3				3.63904e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				1.4304e+06
P0DP58	P0DP58				1.58706e+07
P0DTE1	P0DTE1				1.18737e+06
P10124	P10124				1.01637e+06
P10153	P10153				604199
P10253	P10253				688451
P10451-3	P10451-3				7.09418e+06
P10451-5	P10451;P10451-4;P10451-5				5.71866e+07
P10451;P10451-4	P10451;P10451-4				754091
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				2.39026e+06
P10599	P10599;P10599-2				2.89626e+06
P10619;P10619-2	P10619;P10619-2				214841
P10636-2;P10636-6	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				128990
P10643	P10643				2.59184e+07
P10644;P10644-2	P10644;P10644-2				71609.3
P10645	P10645				1.072e+08
P10721;P10721-2	P10721;P10721-2				2.05738e+06
P10745	P10745				3.97747e+06
P10768	P10768				668197
P10909;P10909-2;P10909-4;P10909-5;P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				1.43677e+09
P11021	P11021				2.48434e+06
P11047	P11047				1.18146e+06
P11142	P11142				1.93156e+06
P11226	P11226				389869
P11279	P11279;P11279-2				6.89244e+06
P11362-18	P11362-14;P11362-18;P11362-19;P11362-21;P11362-7				515715
P11362;P11362-2;P11362-20;P11362-8;P11362-9	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				3.78803e+06
P11464-4	P11464-4				5.40845e+06
P11597	P11597;P11597-2				253684
P11717	P11717				627943
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				352437
P12109	P12109				1.50599e+07
P12110	P12110;P12110-2;P12110-3				1.23899e+06
P12111	P12111;P12111-2;P12111-4				3.02925e+06
P12111-4	P12111-4				82327.9
P12259	P12259				4.24319e+06
P12272;P12272-2;P12272-3	P12272;P12272-2;P12272-3				130540
P12277	P12277				445348
P12314;Q92637;Q92637-3	P12314;Q92637;Q92637-3				4.8929e+06
P12318;P12318-2	P12318;P31994;P31995;P12318-2;P31994-2;P31994-3;P31994-4;P31994-5;P31995-2;P31995-3;P31995-4				2.82311e+06
P12532;P12532-2;P17540	P12532;P17540;P12532-2				33834.3
P12821;P12821-2	P12821;P12821-3;P12821-2;P12821-4				557105
P12830;P12830-2	P12830;P12830-2				1.24239e+06
P12955;P12955-2	P12955;P12955-2				1.47782e+06
P13284	P13284				598183
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3				4.78208e+07
P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6	P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6				839869
P13521	P13521				1.4945e+07
P13591	P13591;P13591-1;P13591-3;P13591-4;P13591-5;P13591-6				4.69069e+07
P13591-3	P13591-1;P13591-3;P13591-4				1.01979e+07
P13598	P13598				1.5023e+06
P13611;P13611-5	P13611;P13611-2;P13611-3;P13611-4;P13611-5				4.96376e+06
P13637;P13637-2;P13637-3	P13637;P13637-2;P13637-3				1.56051e+06
P13645	P13645				7.60292e+06
P13646;P13646-3;P19012	P13646;P19012;P13646-2;P13646-3				795249
P13647	P13647				212992
P13671	P13671				1.0344e+07
P13693	P13693				75987.6
P13747	P13747				384340
P13796	P13796;P13797;P13797-2;P13797-3				3.97177e+06
P13797;P13797-2;P13797-3	P13797;P13797-2;P13797-3				206792
P13987;P13987-2	P13987;P13987-2				9.50599e+06
P14136	P14136				658083
P14138;P14138-2	P14138;P14138-2				414104
P14151;P14151-2	P14151;P14151-2				2.55935e+06
P14174	P14174				6.88809e+06
P14209;P14209-3	P14209;P14209-3				508592
P14314-2	P14314;P14314-2				1.86483e+06
P14324;P14324-2	P14324;P14324-2				144799
P14384	P14384				223637
P14415	P14415				567366
P14543	P14543;P14543-2				4.21311e+06
P14618-2	P14618;P14618-2;P14618-3				9.73901e+06
P14618;P14618-3	P14618;P14618-3				131214
P14621	P14621				1.46662e+06
P14625	P14625				1.31488e+06
P15086	P15085;P15086				974288
P15090	P15090				973005
P15121	P15121				615406
P15144	P15144				776166
