Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampled09.mzML
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				7.13648e+07
P05090	P05090				3.07274e+09
P05107	P05107				956495
P05109	P05109				473055
P05121	P05121				444684
P05154	P05154				1.69324e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				6.80914e+08
P05156	P05156				2.97269e+07
P05160	P05160				2.7007e+06
P05186;P05186-3	P05186;P05186-2;P05186-3				109330
P05362	P05362				3.26711e+06
P05408;P05408-2	P05408;P05408-2				8.14688e+07
P05413	P05413				5.52937e+06
P05451	P05451;P48304				878429
P05452	P05452				8.57338e+07
P05543	P05543				2.47151e+07
P05546	P05546				1.05046e+08
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				1.01423e+06
P05937	P05937;P05937-2				5.84072e+06
P06276	P06276				5.07301e+06
P06307	P06307				1.06867e+07
P06310	P06310				2.14304e+08
P06312	P06312				5.31177e+08
P06315	P06315				368649
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				9.74522e+06
P06396	P06396;P06396-2;P06396-3;P06396-4				7.4485e+08
P06396-2	P06396-2				3.26997e+06
P06681	P06681;P06681-2;P06681-3				3.14319e+07
P06702	P06702				395637
P06703	P06703				1.61672e+06
P06727	P06727				1.747e+08
P06733	P06733;P06733-2				4.13489e+06
P06744;P06744-2	P06744;P06744-2				2.41424e+06
P06865	P06865				1.06457e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				9.28433e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				1.14316e+07
P07148	P07148				1.04959e+06
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				2.78715e+07
P07196	P07196				81905.9
P07225	P07225				7.32734e+07
P07237	P07237				1.4117e+06
P07311	P07311				654339
P07333	P07333;P07333-2				3.77103e+07
P07339	P07339				1.37804e+08
P07355;P07355-2	A6NMY6;P07355;P07355-2				394096
P07357	P07357				2.26647e+07
P07358	P07358				1.9136e+07
P07360	P07360				1.15037e+07
P07492	P07492;P07492-2;P07492-3				405084
P07585	P07585				3.59003e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				6.19926e+07
P07686	P07686				7.27898e+06
P07711	P07711;P07711-3				9.991e+06
P07737	P07737				3.628e+06
P07858	P07858				3.67804e+07
P07900;P07900-2	P07900;P07900-2				1.03826e+06
P07942	P07942				4.28662e+06
P07988	P07988				1.01554e+06
