Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB01.mzML
P10153	P10153				1.4968e+06
P10253	P10253				1.25754e+06
P10451-3	P10451-3				7.5205e+06
P10451-5	P10451;P10451-4;P10451-5				1.9014e+08
P10451;P10451-4	P10451;P10451-4				1.32907e+06
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				4.36319e+06
P10599	P10599;P10599-2				5.90968e+06
P10619;P10619-2	P10619;P10619-2				79039.6
P10636-2;P10636-6	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				480830
P10643	P10643				6.90613e+07
P10644;P10644-2	P10644;P10644-2				378609
P10645	P10645				4.00121e+08
P10721;P10721-2	P10721;P10721-2				3.48998e+06
P10745	P10745				303052
P10768	P10768				1.00439e+06
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				8.08685e+08
P10915	P10915				107545
P11021	P11021				1.34661e+07
P11047	P11047				2.62499e+06
P11117	P11117				664213
P11142	P11142				4.86367e+06
P11215;P11215-2	P11215;P11215-2				279083
P11226	P11226				701908
P11279	P11279;P11279-2				4.9233e+06
P11362-21;P11362-7	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				7.00654e+06
P11597;P11597-2	P11597;P11597-2				415971
P11717	P11717				3.13826e+06
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				158214
P12109	P12109				2.32888e+07
P12110	P12110;P12110-2;P12110-3				2.57357e+06
P12111	P12111;P12111-2;P12111-4				5.00746e+06
P12111-4	P12111-4				709878
P12259	P12259				3.86333e+06
P12272;P12272-2;P12272-3	P12272;P12272-2;P12272-3				186464
P12277	P12277				678442
P12314;Q92637;Q92637-3	P12314;Q92637;Q92637-3				3.47856e+06
P12318;P12318-2	P12318;P31994;P31995;P12318-2;P31994-2;P31994-3;P31994-4;P31994-5;P31995-2;P31995-3;P31995-4				3.72963e+06
P12532;P12532-2	P12532;P17540;P12532-2				117235
P12821;P12821-2	P12821;P12821-3;P12821-2;P12821-4				663656
P12830;P12830-2	P12830;P12830-2				1.03202e+06
P12955;P12955-2	P12955;P12955-2				1.76539e+06
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3				9.56784e+07
P13489	P13489				282546
P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6	P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6				1.2286e+06
P13521	P13521				4.16387e+07
P13591	P13591;P13591-1;P13591-3;P13591-4;P13591-5;P13591-6				1.66612e+08
P13591-3	P13591-1;P13591-3;P13591-4				1.6689e+07
P13598	P13598				1.21477e+06
P13611;P13611-5	P13611;P13611-2;P13611-3;P13611-4;P13611-5				1.03356e+07
P13637;P13637-2;P13637-3	P13637;P13637-2;P13637-3				214158
P13645	P13645				2.72075e+06
P13647	P13647				239185
P13667	P13667				95569.6
P13671	P13671				1.0201e+07
P13693	P13693				109167
P13747	P13747				323844
P13796	P13796;P13796-2				5.90539e+06
P13797;P13797-2;P13797-3	P13797;P13797-2;P13797-3				426090
P13987;P13987-2	P13987;P13987-2				2.00794e+07
P14136	P14136				317561
P14138;P14138-2;P14138-3	P14138;P14138-2;P14138-3				445534
P14151;P14151-2	P14151;P14151-2				3.3793e+06
P14174	P14174				4.98765e+06
P14207	P14207				1.63685e+06
P14209;P14209-3	P14209;P14209-3				549873
P14314-2	P14314;P14314-2				3.66432e+06
P14324;P14324-2	P14324;P14324-2				174557
P14384	P14384				505706
P14415	P14415				709721
P14543	P14543;P14543-2				5.77135e+06
P14618-2	P14618;P14618-2;P14618-3				1.72164e+07
P14618;P14618-3	P14618;P14618-3				433520
P14621	P14621				1.61388e+06
P14625	P14625;Q58FF3				3.28738e+06
P15086	P15085;P15086				1.66551e+06
P15090	P15090				1.5543e+06
P15121	P15121				933026
P15144	P15144				1.73014e+06
