Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA06.mzML
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				3.52325e+07
P07686	P07686				1.31368e+07
P07711	P07711;P07711-3				8.40481e+06
P07737	P07737				3.03106e+06
P07738	P07738				975968
P07858	P07858				3.17122e+07
P07900;P07900-2	P07900;P07900-2				1.20316e+06
P07942	P07942				2.66747e+06
P07988	P07988				381553
P07996	P07996;P07996-2				6.37111e+06
P07998	P07998				3.1489e+07
P08123	P08123				1.09647e+07
P08133;P08133-2	P08133;P08133-2				168062
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				3.33835e+06
P08185	P08185				5.61162e+07
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				6.05153e+06
P08236;P08236-3	P08236;P08236-3				378805
P08238	P07900;P08238;P07900-2				826021
P08253	P08253;P08253-2;P08253-3				1.41772e+07
P08294	P08294				9.02201e+07
P08476	P08476				189662
P08493-2	P08493;P08493-2				1.86926e+07
P08571	P08571				1.3387e+08
P08572	P08572				2.61297e+06
P08581;P08581-2	P08581;P08581-2				2.54272e+06
P08582	P08582				1.23752e+06
P08603	P08603				1.21732e+08
P08637	P08637				5.76134e+06
P08670	P08670;P17661				6.12727e+06
P08697	P08697;P08697-2				1.01407e+08
P08709;P08709-2	P08709;P08709-2				650278
P08758	P08758				2.13258e+06
P08949;P08949-2	P08949;P08949-2				234582
P09104	P09104;P09104-2				4.52322e+06
P09172	P09172				409118
P09211	P09211				5.82657e+06
P09382	P09382				1.47684e+07
P09417;P09417-2	P09417;P09417-2				8.43504e+06
P09486	P09486				5.48071e+07
P09493;P09493-10;P09493-2;P09493-3;P09493-4;P09493-5;P09493-6;P09493-7;P09493-8;P09493-9	P09493;P09493-10;P09493-5;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9				662143
P09603	P09603				5.29378e+07
P09619	P09619;P09619-2				4.31062e+06
P09622	P09622;P09622-2;P09622-3				2.51944e+06
P09668	P09668				1.36327e+07
P09871	P09871				1.22464e+08
P09936	P09936				3.05289e+06
P09958	P09958				716800
P09960;P09960-2;P09960-3;P09960-4	P09960;P09960-2;P09960-3;P09960-4				632871
P09972	P09972				3.63318e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				7.29039e+07
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				3.51285e+08
P0C6S8	P0C6S8				1.08164e+06
P0CG47;P0CG48	P0CG47;P0CG48;P62979;P62987				1.86626e+08
P0DJD7;P0DJD8;P0DJD9	P0DJD7;P0DJD8;P0DJD9				840471
P0DJI8;P0DJI9	P0DJI8;P0DJI9;P0DJI9-2				2.88672e+06
P0DMQ5	P0DMQ5				1.54089e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				4.22415e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				2.79752e+08
P0DOX3	P0DOX3				2.00517e+07
P0DOX5	P0DOX5				3.15108e+09
P0DOX7	P01834;P0DOX7				1.05736e+09
P0DOX8	B9A064;P0DOX8				1.94467e+08
P0DOY2;P0DOY3	P0DOY2;P0DOY3				5.31556e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				4.33503e+06
P0DP58	P0DP58				1.00773e+08
P0DTE1	P0DTE1				1.09235e+06
P10124	P10124				2.72286e+06
P10153	P10153				1.50253e+06
P10253	P10253				1.70454e+06
P10451-3	P10451-3				1.73862e+07
P10451-5	P10451;P10451-4;P10451-5				3.49611e+08
P10451;P10451-4	P10451;P10451-4				2.79478e+06
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				1.03789e+07
P10599	P10599;P10599-2				1.0819e+07
P10619;P10619-2	P10619;P10619-2				190480
P10636-2;P10636-6	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				1.2633e+06
P10643	P10643				4.31005e+07
P10644	P10644;P10644-2				861650
P10645	P10645				6.39462e+08
P10721;P10721-2	P10721;P10721-2				4.35003e+06
P10745	P10745				507203
P10768	P10768				2.93564e+06
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				9.92694e+08
P11021	P11021				6.90302e+06
P11047	P11047				2.96462e+06
P11117	P11117				1.03029e+06
P11142	P11142				8.7923e+06
P11215;P11215-2	P11215;P11215-2				610429
P11226	P11226				2.72515e+06
P11279	P11279;P11279-2				8.17466e+06
P11362-16	P11362;P11362-10;P11362-11;P11362-16;P11362-2;P11362-20;P11362-3;P11362-4;P11362-8;P11362-9				747970
