Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R2.mzML
P04908;P0C0S8;P16104;P20671;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				310512
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				855532
P05026;P05026-2	P05026;P05026-2				688762
P05060	P05060				3.86413e+08
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				8.02423e+07
P05090	P05090				2.59736e+09
P05107	P05107				447079
P05109	P05109				211180
P05121	P05121				292532
P05154	P05154				8.9348e+06
P05155;P05155-3	P05155;P05155-2;P05155-3				5.41278e+08
P05156	P05156				1.81228e+07
P05160	P05160				954962
P05362	P05362				359750
P05408;P05408-2	P05408;P05408-2				1.79201e+08
P05413	P05413				4.02829e+06
P05451	P05451;P48304				252214
P05452	P05452				6.23848e+07
P05543	P05543				1.01478e+07
P05546	P05546				5.6447e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				1.06048e+06
P05937	P05937;P05937-2				4.79284e+06
P05997	P05997				778371
P06276	P06276				3.55347e+06
P06280	P06280				287380
P06307	P06307				1.36315e+07
P06310	P06310				1.08167e+07
P06312	P06312				1.82831e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				3.61043e+07
P06396	P06396;P06396-2;P06396-3;P06396-4				6.1665e+08
P06396-2	P06396-2				4.91339e+06
P06681	P06681;P06681-2;P06681-3				6.96864e+07
P06703	P06703				3.87868e+06
P06727	P06727				1.37878e+08
P06733	P06733;P06733-2				4.77767e+06
P06744;P06744-2	P06744;P06744-2				7.89349e+06
P06865	P06865				1.06128e+07
P07093-2;P07093-3	P07093;P07093-2;P07093-3				6.49796e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				1.39008e+07
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				3.82876e+07
P07196	P07196				283784
P07225	P07225				3.70836e+07
P07237	P07237				3.03112e+06
P07311	P07311				1.22102e+06
P07333	P07333;P07333-2				2.69376e+07
P07339	P07339				8.55093e+07
P07357	P07357				1.06467e+07
P07358	P07358				1.71215e+07
P07360	P07360				1.2545e+07
P07492	P07492;P07492-2;P07492-3				1.1016e+06
P07492-2	P07492-2				68790.9
P07585	P07585				1.33953e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				1.10001e+08
P07686	P07686				9.71713e+06
P07711	P07711;P07711-3				1.14069e+07
P07737	P07737				3.82213e+06
P07858	P07858				4.19241e+07
P07900;P07900-2	P07900;P07900-2				1.53184e+06
P07942	P07942				2.70349e+06
P07996	P07996;P07996-2				3.34892e+06
P07998	P07998				2.71851e+07
P08123	P08123				8.05818e+06
P08133;P08133-2	P08133;P08133-2				419594
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				2.82354e+06
P08185	P08185				3.49734e+07
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				6.44681e+06
P08236;P08236-3	P08236;P08236-3				314329
P08238	P07900;P08238;P07900-2				981862
P08253	P08253;P08253-2;P08253-3				1.16476e+07
P08254	P08254;P09238				598771
P08294	P08294				5.66853e+07
P08476	P08476				58807.5
P08493-2	P08493;P08493-2				1.94988e+07
P08571	P08571				7.95436e+07
P08572	P08572				2.82224e+06
P08575;P08575-10;P08575-4;P08575-5;P08575-6;P08575-7;P08575-8;P08575-9	P08575;P08575-10;P08575-4;P08575-5;P08575-6;P08575-7;P08575-8;P08575-9				504770
P08581;P08581-2	P08581;P08581-2				909339
P08582	P08582				791386
P08603	P08603				1.53496e+08
P08637	O75015;P08637				6.25675e+06
P08670	P08670;P17661				1.66349e+06
P08697	P08697;P08697-2				2.20311e+08
P08709;P08709-2	P08709;P08709-2				388686
P08758	P08758				3.93604e+06
P08949;P08949-2	P08949;P08949-2				218694
P09104	P09104;P09104-2				7.2735e+06
P09172	P09172				3.65988e+06
P09211	P09211				6.64799e+06
P09382	P09382				1.40441e+07
P09417	P09417;P09417-2				2.41925e+07
P09486	P09486				5.8974e+07
P09493-6;P09493-7;P09493-8	P09493;P09493-10;P09493-5;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9				999622
P09603	P09603				4.64323e+07
P09619	P09619;P09619-2				3.3481e+06
P09622	P09622;P09622-2				1.5015e+06
P09668	P09668				1.33369e+07
P09871	P09871				1.13664e+08
P09936	P09936				1.23586e+06
P09958	P09958				834178
P09960;P09960-2;P09960-3;P09960-4	P09960;P09960-2;P09960-3;P09960-4				220652
P09972	P09972				2.13033e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				4.54821e+07
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				3.00801e+08
P0C6S8	P0C6S8				1.30587e+06
P0CG47;P0CG48	P0CG47;P0CG48;P62979;P62987				1.57231e+08
P0DMQ5	P0DMQ5				1.58817e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				3.28198e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				2.95128e+08
P0DOX3	P0DOX3				9.36759e+06
P0DOX7	P01834;P0DOX7				3.34877e+08
P0DOX8	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.73675e+08
P0DOY2;P0DOY3	P0DOY2;P0DOY3				2.33312e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				5.7128e+06
P0DP58	P0DP58				1.27429e+08
P0DTE1	P0DTE1				1.40928e+06
P0DTE7;P0DTE8;P0DUB6	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				1.17864e+06
P10124	P10124				2.21799e+06
P10153	P10153				1.47217e+06
P10253	P10253				1.37683e+06
P10321;P10321-2	P10321;P10321-2				673995
P10451-3	P10451-3				2.08909e+07
P10451-5	P10451;P10451-4;P10451-5				4.05809e+08
P10451;P10451-4	P10451;P10451-4				1.91123e+06
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				8.86514e+06
P10599	P10599;P10599-2				8.95314e+06
P10619;P10619-2	P10619;P10619-2				385900
P10636-2;P10636-6	P10636-6;P10636-2				465849
P10636-4;P10636-7	P10636-4;P10636-7				714477
P10643	P10643				5.93295e+07
P10644;P10644-2	P10644;P10644-2				264286
P10645	P10645				6.96599e+08
P10721;P10721-2	P10721;P10721-2				5.67593e+06
P10745	P10745				7.53257e+06
P10768	P10768				976363
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				2.31461e+09
P11021	P11021				2.00825e+07
P11047	P11047				1.21118e+07
P11117	P11117				1.09714e+06
P11137;P11137-3	P11137;P11137-3				49875.6
P11142	P11142				1.05666e+07
P11215;P11215-2	P11215;P11215-2				438263
P11226	P11226				521171
P11279	P11279;P11279-2				9.05878e+06
P11362-16	P11362;P11362-10;P11362-11;P11362-16;P11362-2;P11362-20;P11362-3;P11362-4;P11362-8;P11362-9				447166
P11362-21;P11362-7	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				1.75005e+07
P11597	P11597;P11597-2				636122
P11717	P11717				1.84843e+06
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				383859
P12109	P12109				5.28088e+07
P12110	P12110;P12110-2;P12110-3				2.15349e+06
P12111	P12111;P12111-2;P12111-4				1.0481e+07
P12111-4	P12111-4				552640
P12259	P12259				6.48812e+06
P12272;P12272-2;P12272-3	P12272;P12272-2;P12272-3				2.6161e+06
P12277	P12277				1.70395e+06
P12314;Q92637;Q92637-3	P12314;Q92637;Q92637-3				1.73476e+06
P12318;P12318-2	P12318;P31994;P31995;P12318-2;P31994-2;P31994-3;P31994-4;P31994-5;P31995-2;P31995-3;P31995-4				4.81288e+06
