Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B7_81787765.mzML
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				3.69363e+07
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				4.75671e+08
P0C6S8	P0C6S8				1.80586e+06
P0CG47;P0CG48;P62979;P62987	P0CG47;P0CG48;P62979;P62987				7.63519e+07
P0DJI8;P0DJI9	P0DJI8;P0DJI9;P0DJI9-2				1.99555e+06
P0DMQ5	P0DMQ5				2.00949e+07
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				5.12234e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				2.47807e+08
P0DOX3	P0DOX3				7.19095e+06
P0DOX5	P01857;P01859;P0DOX5;P01857-1;P01859-1				2.36179e+09
P0DOX7	P01834;P0DOX7				3.31993e+08
P0DOY2;P0DOY3	P0DOY2;P0DOY3				1.50398e+08
P0DP23;P0DP24;P0DP25;P27482	P0DP23;P0DP24;P0DP25;P27482				329287
P0DP58	P0DP58				1.02989e+08
P0DTE1	P0DTE1				1.28767e+06
P10124	P10124				5.79496e+06
P10153	P10153				1.03822e+07
P10253	P10253				4.77201e+06
P10451-5	P10451;P10451-4;P10451-5				2.58837e+08
P10451;P10451-4	P10451;P10451-4				3.89951e+06
P10586;P10586-2	P10586;P23468;P10586-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7				1.74063e+07
P10599	P10599;P10599-2				1.69891e+07
P10619;P10619-2	P10619;P10619-2				562534
P10636;P10636-2;P10636-3;P10636-4;P10636-5;P10636-6;P10636-7;P10636-8;P10636-9	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				717709
P10643	P10643				4.75686e+07
P10644;P10644-2	P10644;P10644-2				629110
P10645	P10645				3.41099e+08
P10721;P10721-2	P10721;P10721-2				6.73998e+06
P10745	P10745				1.37538e+06
P10768	P10768				1.96397e+06
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				1.81926e+09
P11021	P11021				8.28808e+06
P11047	P11047				2.3894e+06
P11117	P11117				2.66925e+06
P11142	P11142				7.95127e+06
P11215;P11215-2	P11215;P11215-2				126214
P11279	P11279;P11279-2				8.16202e+06
P11362-21;P11362-7	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				1.37444e+07
P11464-4	P11464-4				5.19789e+06
P11597	P11597;P11597-2				939298
P11717	P11717				2.43668e+07
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				547176
P12109	P12109				5.19737e+07
P12110	P12110;P12110-2;P12110-3				3.16298e+06
P12111	P12111;P12111-2;P12111-4				5.63812e+06
P12111-4	P12111-4				1.00297e+06
P12259	P12259				1.88836e+07
P12272;P12272-2;P12272-3	P12272;P12272-2;P12272-3				1.43049e+06
P12277	P06732;P12277				529134
P12314;Q92637;Q92637-3	P12314;Q92637;Q92637-3				3.46017e+07
P12318;P12318-2	P12318;P31994;P31995;P12318-2;P31994-2;P31994-3;P31994-4;P31994-5;P31995-2;P31995-3;P31995-4				1.98077e+06
P12821;P12821-2	P12821;P12821-3;P12821-2;P12821-4				621303
P12830;P12830-2	P12830;P12830-2				1.46179e+06
P12955	P12955;P12955-2				6.63124e+06
P13284	P13284				2.02985e+06
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3				1.43606e+07
P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6	P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6				1.02135e+06
P13521	P13521				7.01593e+07
P13591	P13591;P13591-1;P13591-3;P13591-4;P13591-5;P13591-6				1.0293e+08
P13591-3	P13591-1;P13591-3;P13591-4				4.29946e+07
P13598	P13598				4.31179e+06
