Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_E7_CSF_414.mzML
A6NCE7;Q9GZQ8;Q9H492;Q9H492-2	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				293157
A6NGN9	A6NGN9				5.22377e+06
A6NL88	A6NL88				1.2284e+06
A6NLU5	A6NLU5				1.89386e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				113131
C9JVW0	C9JVW0				7.62931e+06
I3L3R5	I3L3R5				396372
O00115;O00115-2	O00115;O00115-2				3.08125e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.39615e+07
O00187;O00187-2	O00187;O00187-2				1.43232e+06
O00264	O00264;O15173;O15173-2				832046
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.05038e+06
O00391	O00391;O00391-2				7.47177e+06
O00451	O00451;O00451-2;O00451-3				8.75824e+06
O00461	O00461				1.83365e+06
O00462	O00462				6.76499e+06
O00468-6	O00468-6;O00468-7				9.16939e+06
O00533	O00533;O00533-2				1.2945e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				222158
O00584	O00584				3.74176e+06
O00754;O00754-2	O00754;O00754-2				1.09612e+06
O14498	O14498				8.9494e+06
O14514	O14514				4.20305e+06
O14522	O14522;O14522-1				1.06739e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				74445.8
O14594	O14594				8.33804e+07
O14668;O14668-2	O14668;O14668-2				1.23573e+06
O14672	O14672				2.62013e+06
O14773	O14773				5.42804e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				3.54751e+06
O14791-2	O14791;O14791-2;O14791-3				1.44718e+07
O14793	O14793				2.59317e+06
O14917;O14917-2	O14917;O14917-2				2.04173e+06
O15031	O15031				1.07925e+07
O15041;O15041-2	O15041;O15041-2				286547
O15197;O15197-3	O15197;O15197-3				2.30069e+06
O15204;O15204-2	O15204;O15204-2				477243
O15230	O15230;O15230-2				1.06612e+06
O15240	O15240				1.14152e+08
O15335	O15335				1.98449e+06
O15354	O15354				1.48829e+07
O15394	O15394;O15394-2				1.99259e+07
O15466;O15466-2	O15466;O15466-2				553867
O15540;O15540-2	O15540;O15540-2				1.15189e+06
O43157	O43157;O43157-2;O43157-3				2.59051e+06
O43173	O43173				1.27961e+06
O43240	O43240				289480
O43278;O43278-2	O43278;O43278-2				1.04011e+06
O43286	O43286				447146
O43291;O43291-2	O43291;O43291-2				4.51839e+06
O43300	O43300				434850
O43405;O43405-2	O43405;O43405-2				1.16004e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.40811e+07
O43505	O43505				2.9652e+08
O43508	O43508;O43508-2				243774
O43529	O43529				2.54959e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				5.12561e+06
O43567	O43567				4.44656e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				238531
O43827	O43827				2.55036e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				214948
O43854;O43854-2	O43854;O43854-2				128675
O43866	O43866				1.18089e+07
O43897;O43897-2	O43897;O43897-2				1.26626e+06
O43909	O43909				245328
O60234;P60983	O60234;P60983				809200
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.2075e+06
O60242	O60242				1.61361e+06
