Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B6_CSF_257-15.mzML
P0DP58	P0DP58				1.23669e+08
P0DTE1	P0DTE1				4.17192e+06
P0DTE7;P0DTE8;P0DUB6	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				1.08688e+06
P10124	P10124				6.49036e+06
P10153	P10153				1.02485e+07
P10253	P10253				3.1903e+06
P10321;P10321-2	P10321;P10321-2				1.36256e+06
P10451-3	P10451-3				3.15679e+07
P10451-5	P10451;P10451-4;P10451-5				3.00927e+08
P10451;P10451-4	P10451;P10451-4				1.55209e+06
P10586;P10586-2	P10586;P10586-2				1.16779e+07
P10599	P10599;P10599-2				1.37429e+07
P10636;P10636-2;P10636-3;P10636-4;P10636-5;P10636-6;P10636-7;P10636-8;P10636-9	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				975562
P10643	P10643				5.08247e+07
P10644;P10644-2	P10644;P10644-2				626455
P10645	P10645				4.56308e+08
P10721;P10721-2	P10721;P10721-2				3.92949e+06
P10745	P10745				2.3613e+06
P10768	P10768				1.899e+06
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				1.32342e+09
P10915	P10915				836367
P11021	P11021				8.90764e+06
P11047	P11047				1.36374e+07
P11117	P11117				2.38671e+06
P11142	P11142				9.25097e+06
P11279	P11279;P11279-2				8.93632e+06
P11362-16	P11362;P11362-10;P11362-11;P11362-16;P11362-2;P11362-20;P11362-3;P11362-4;P11362-8;P11362-9				2.14708e+06
P11362-21;P11362-7	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				1.98442e+07
P11597;P11597-2	P11597;P11597-2				1.98797e+06
P11717	P11717				1.5057e+06
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				154041
P12109	P12109				4.35359e+07
P12110	P12110;P12110-2;P12110-3				3.45397e+06
P12111	P12111;P12111-2;P12111-5				1.0768e+06
P12111-4	P12111;P12111-2;P12111-4				1.13696e+07
P12259	P12259				1.02405e+07
P12272;P12272-2;P12272-3	P12272;P12272-2;P12272-3				1.61393e+06
P12277	P12277				1.97208e+06
P12314;Q92637;Q92637-3	P12314;Q92637;Q92637-3				5.34589e+06
P12318;P12318-2	P12318;P31994;P31995;P12318-2;P31994-2;P31994-3;P31994-4;P31994-5;P31995-2;P31995-3;P31995-4				6.8471e+06
P12821;P12821-2	P12821;P12821-3;P12821-2;P12821-4				1.34935e+06
P12830;P12830-2	P12830;P12830-2				2.61014e+06
P12955;P12955-2	P12955;P12955-2;P12955-3				1.42786e+06
P13284	P13284				1.66764e+06
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3				1.09046e+08
P13489	P13489				991338
