Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_F6_CSF_134.mzML
Q8WZA1	Q8WZA1;Q8WZA1-2				2.73915e+07
Q92484;Q92484-2	Q92484;Q92484-2				1.0307e+06
Q92485	Q92485				2.32879e+06
Q92520	Q92520				2.3372e+08
Q92542;Q92542-2	Q92542;Q92542-2				1.85655e+06
Q92563	Q92563				1.35727e+07
Q92626	Q92626;Q92626-2				600228
Q92673	Q92673				5.95294e+06
Q92692;Q92692-2	Q92692;Q92692-2				3.39207e+06
Q92729;Q92729-2;Q92729-3;Q92729-4	Q92729;Q92729-2;Q92729-3;Q92729-4				468512
Q92743	Q92743				2.76537e+06
Q92752	Q92752;Q92752-2				5.72216e+06
Q92765	Q92765				8.26932e+06
Q92820	Q92820				1.03671e+07
Q92823;Q92823-2;Q92823-5	Q92823;Q92823-2;Q92823-3;Q92823-4;Q92823-5;Q92823-6				2.38665e+08
Q92832;Q92832-2	Q92832;Q92832-2				2.48086e+06
Q92854	Q92854;Q92854-2				2.48518e+06
Q92859;Q92859-2;Q92859-3	Q92859;Q92859-2;Q92859-3;Q92859-4				2.26648e+07
Q92876	Q92876;Q92876-2				2.75798e+08
Q92896;Q92896-2;Q92896-3	Q92896;Q92896-2;Q92896-3				1.52698e+06
Q92911	Q92911				952390
Q92932-2	Q92932;Q92932-2;Q92932-3;Q92932-4				1.84513e+07
Q92935	Q92935				448181
Q92945;Q96AE4;Q96AE4-2	Q92945;Q96AE4;Q96AE4-2				3.23878e+06
Q92954;Q92954-2;Q92954-3;Q92954-4;Q92954-5;Q92954-6	Q92954;Q92954-2;Q92954-3;Q92954-4;Q92954-5;Q92954-6				3.61077e+06
Q93063;Q93063-2;Q93063-3	Q93063;Q93063-2;Q93063-3				1.87777e+06
Q93091	Q93091				2.73966e+06
Q969H8	Q969H8				2.19051e+06
Q969P0;Q969P0-3	Q969P0;Q969P0-3				7.33579e+07
Q969T9	Q969T9;Q969T9-2				7.48176e+06
Q969Z4	Q969Z4				1.32501e+06
Q96AP7	Q96AP7				1.38876e+07
Q96AQ1;Q96AQ1-2;Q96LY2;Q96LY2-2	Q96LY2;Q96LY2-2;Q96AQ1;Q96AQ1-2				1.05505e+06
Q96AQ6;Q96AQ6-2	Q96AQ6;Q96AQ6-2;Q96AQ6-3				1.01358e+06
Q96B86;Q96B86-3;Q96B86-4	Q96B86;Q96B86-3;Q96B86-4				1.16726e+07
Q96BY9	Q96BY9				116498
Q96BZ4	Q96BZ4				9.91404e+06
Q96CG8;Q96CG8-2;Q96CG8-3	Q96CG8;Q96CG8-2;Q96CG8-3				790368
Q96CW9;Q96CW9-2	Q96CW9;Q96CW9-2				274238
Q96CX2	Q96CX2				1.40945e+06
Q96DD7	Q96DD7				42155.3
Q96DZ1;Q96DZ1-2;Q96DZ1-3	Q96DZ1;Q96DZ1-2;Q96DZ1-3				144935
Q96EU7	Q96EU7				321219
Q96F24;Q96F24-2;Q96F24-3	Q96F24;Q96F24-2;Q96F24-3				215645
Q96FE5;Q96FE5-2	Q96FE5;Q96FE5-2				1.02484e+07
Q96FE7-4	Q96FE7;Q96FE7-2;Q96FE7-4;Q96FE7-5				2.0726e+07
Q96FJ2	P63167;Q96FJ2				2.93268e+06
Q96GD0	Q96GD0				250890
Q96GW7	Q96GW7;Q96GW7-2				2.8094e+08
Q96HD1;Q96HD1-2	Q96HD1;Q96HD1-2				2.05713e+06
Q96HU1;Q96HU1-2	Q96HU1;Q96HU1-2				973644
Q96ID5	Q96ID5				1.17447e+07
Q96IU4	Q96IU4				1.07153e+06
Q96IY4	Q96IY4;Q96IY4-2				1.07855e+07
Q96J42;Q96J42-2	Q96J42;Q96J42-2				411671
Q96JA1	O94898;Q96JA1;Q6UXM1;Q6UXM1-2				1.46476e+06
Q96JF0	Q96JF0;Q96JF0-2				1.57613e+07
Q96JP9;Q96JP9-2	Q96JP9;Q96JP9-2				242164
Q96JQ0	Q96JQ0				1.40208e+07
Q96KN2	Q96KN2				2.17865e+08
Q96KR4;Q96KR4-3	Q96KR4;Q96KR4-3				1.04381e+06
Q96MK3	Q96MK3				115396
Q96MU8;Q96MU8-2;Q96MU8-3	Q96MU8;Q96MU8-2;Q96MU8-3				257764
Q96NU0;Q9BZ76;Q9BZ76-2	Q96NU0;Q9BZ76;Q9BZ76-2;Q96NU0-2				637739
Q96NZ9	Q96NZ9;Q96NZ9-2;Q96NZ9-4				5.9811e+06
Q96P44;Q96P44-3	Q96P44;Q96P44-3				958418
Q96PD2;Q96PD2-2	Q96PD2;Q96PD2-2				1.08635e+06
Q96PD5	Q96PD5;Q96PD5-2				3.8078e+07
Q96PQ0	Q96PQ0				5.86914e+06
Q96PX8	Q96PX8				1.72219e+07
Q96RW7;Q96RW7-2	Q96RW7;Q96RW7-2				719453
Q96S96	Q96S96				4.98692e+07
Q96SM3	Q96SM3				568105
Q96TC7;Q96TC7-2	Q96TC7;Q96TC7-2				421750
Q99435;Q99435-2;Q99435-3;Q99435-4	Q99435;Q99435-2;Q99435-3;Q99435-4				3.44241e+08
Q99497	Q99497				1.08963e+07
Q99519	Q99519				2.45684e+06
Q99523	Q99523;Q99523-2				4.78316e+06
Q99538	Q99538;Q99538-2;Q99538-3				871024
Q99574	Q99574				3.50272e+07
Q99584	Q99584				63869.4
Q99650;Q99650-2	Q99650;Q99650-2				3.0051e+06
Q99674	Q99674;Q99674-3				3.87567e+07
Q99715	Q99715;Q99715-2;Q99715-4				1.58253e+06
Q99784	Q99784;Q99784-3;Q99784-5				5.90923e+06
Q99941;Q99941-2	Q99941;Q99941-2				1.68349e+06
Q99946	Q99946				6.01108e+06
Q99969	Q99969				1.64627e+07
Q99972	Q99972				1.14766e+06
Q99983	Q99983				2.78229e+07
Q99985	Q99985				849754
Q9BQ16	Q9BQ16;Q9BQ16-1;Q9BQ16-4;Q9BQ16-5;Q9BQ16-6;Q9BQ16-7;Q9BQ16-8				1.35039e+07
